,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2006-10-10,467.5,470.0,465.0,467.5,351.7306213378906,748900000,BBCA.JK,344.51797,352.11126708984375,0.0,-0.380645751953125
2006-10-12,457.5,462.5,452.5,457.5,348.3046875,352110000,BBCA.JK,340.1278,355.9179382324219,0.0,-7.613250732421875
2006-10-31,465.0,472.5,465.0,465.0,354.0146789550781,361330000,BBCA.JK,349.06393,357.82122802734375,0.0,-3.806549072265625
2006-11-30,530.0,540.0,530.0,530.0,403.50048828125,199480000,BBCA.JK,400.44302,411.11376953125,0.0,-7.61328125
2006-12-06,530.0,540.0,525.0,530.0,403.50048828125,128260000,BBCA.JK,400.46136,395.8872375488281,0.0,7.613250732421875
2006-12-11,510.0,520.0,510.0,510.0,388.2740478515625,301890000,BBCA.JK,393.2315,388.2740478515625,0.0,0.0
2006-12-15,520.0,525.0,515.0,520.0,395.8872375488281,109870000,BBCA.JK,394.30264,392.0806884765625,0.0,3.806549072265625
2007-01-03,515.0,525.0,515.0,515.0,392.0806884765625,117480000,BBCA.JK,386.95804,395.8872375488281,0.0,-3.806549072265625
2007-01-04,520.0,520.0,510.0,520.0,395.8872375488281,134150000,BBCA.JK,389.47168,395.8872375488281,0.0,0.0
2007-01-10,510.0,510.0,480.0,490.0,373.04766845703125,424290000,BBCA.JK,367.12915,367.33764648437494,0.0,5.710021972656307
2007-01-12,480.0,485.0,460.0,480.0,365.4344482421875,197160000,BBCA.JK,367.5304,380.66082763671875,15.22637939453125,0.0
2007-01-16,510.0,515.0,500.0,510.0,388.2740478515625,131040000,BBCA.JK,387.08655,384.46755981445307,0.0,3.806488037109432
2007-01-25,520.0,530.0,515.0,520.0,395.8872375488281,95520000,BBCA.JK,388.05038,392.0806884765625,0.0,3.806549072265625
2007-01-26,515.0,515.0,500.0,515.0,392.0806884765625,132300000,BBCA.JK,383.37518,384.46755981445307,0.0,7.613128662109432
2007-02-01,525.0,525.0,510.0,525.0,399.6938781738281,178610000,BBCA.JK,394.99133,414.9203796386718,0.0,-15.226501464843693
